repetition,strategy_index,strategy,accuracy,queries_used,iterations,accuracy_per_question
0.0,0.0,random,0.62,16.0,11.0,0.03875
0.0,1.0,S_E,0.52,12.0,7.0,0.043333333333333335
0.0,2.0,S_NE,0.42,13.0,8.0,0.03230769230769231
0.0,3.0,S_W,0.54,11.0,6.0,0.049090909090909095
0.0,4.0,S_NW,0.34,10.0,5.0,0.034
0.0,5.0,S_B,0.44,11.0,6.0,0.04
0.0,6.0,S_NB,0.48,11.0,6.0,0.04363636363636363
0.0,7.0,S_EIG,0.52,10.0,5.0,0.052000000000000005
0.0,8.0,S_NEIG,0.44,10.0,5.0,0.044
0.0,9.0,S_DU,0.54,15.0,10.0,0.036000000000000004
0.0,10.0,S_NDU,0.58,18.0,13.0,0.03222222222222222
0.0,11.0,S_DC,0.52,11.0,6.0,0.04727272727272727
0.0,12.0,S_NDC,0.44,11.0,6.0,0.04
1.0,0.0,random,0.54,13.0,8.0,0.04153846153846154
1.0,1.0,S_E,0.42,8.0,3.0,0.0525
1.0,2.0,S_NE,0.42,10.0,5.0,0.041999999999999996
1.0,3.0,S_W,0.44,11.0,6.0,0.04
1.0,4.0,S_NW,0.36,8.0,3.0,0.045
1.0,5.0,S_B,0.62,14.0,9.0,0.04428571428571428
1.0,6.0,S_NB,0.38,9.0,4.0,0.042222222222222223
1.0,7.0,S_EIG,0.48,10.0,5.0,0.048
1.0,8.0,S_NEIG,0.46,10.0,5.0,0.046
1.0,9.0,S_DU,0.42,11.0,6.0,0.03818181818181818
1.0,10.0,S_NDU,0.52,9.0,4.0,0.05777777777777778
1.0,11.0,S_DC,0.42,9.0,4.0,0.04666666666666666
1.0,12.0,S_NDC,0.44,11.0,6.0,0.04
2.0,0.0,random,0.48,8.0,3.0,0.06
2.0,1.0,S_E,0.6,10.0,5.0,0.06
2.0,2.0,S_NE,0.54,9.0,4.0,0.060000000000000005
2.0,3.0,S_W,0.42,9.0,4.0,0.04666666666666666
2.0,4.0,S_NW,0.58,12.0,7.0,0.04833333333333333
2.0,5.0,S_B,0.44,8.0,3.0,0.055
2.0,6.0,S_NB,0.66,10.0,5.0,0.066
2.0,7.0,S_EIG,0.28,8.0,3.0,0.035
2.0,8.0,S_NEIG,0.36,10.0,5.0,0.036
2.0,9.0,S_DU,0.56,9.0,4.0,0.06222222222222223
2.0,10.0,S_NDU,0.44,9.0,4.0,0.04888888888888889
